Parent_node,Child_node,child_node_name,lot_size,leadtime,process_capa,long_vacation_weeks,Price_a_planning_lot_size,AVE_PRICE_shipped_pack_lot,Cash_Intrest,PO_Mng_cost,Purchase_cost,REVENUE_RATIO,SGMC_ratio,WH_COST_RATIO,WH_COST_RATIO_aWeek,distribution_condition,LOT_SIZE,LT_boat,LT_air,LT_qourier,Indivisual_Packing,Packing_Lot,Transport_Lot,planning_lot_size,Distriburion_Cost,weeks_year,SS_days,TAX_currency_condition,HS_code,customs_tariff_rate,income_tax_from,income_tax_to,forex_rate_USD_from,forex_rate_USD_to,cost_standard_flag,PSI_graph_flag,buffering_stock_flag
MOMASIA,Transmission_AS,Transmission_AS,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
MOMASIA,Body_AS,Body_AS,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Platform_AS,frame_AS,frame_AS,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Platform_AS,wheels_AS,wheels_AS,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
powerunit_AS,motor_AS,motor_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
powerunit_AS,battery_AS,battery_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Cockpit_AS,steering_AS,steering_AS,10,3,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Cockpit_AS,monitor_AS,monitor_AS,10,2,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Body_AS,steel_AS,steel_AS,10,2,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Body_AS,windows_AS,windows_AS,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Body_AS,wireharness_AS,wireharness_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
motor_AS,core_AS,core_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
motor_AS,coil_AS,coil_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
motor_AS,cover_AS,cover_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
MOMAMER,Platform_AM,Platform_AM,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
MOMAMER,powerunit_AM,powerunit_AM,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
MOMAMER,Cockpit_AM,Cockpit_AM,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
MOMAMER,Transmission_AM,Transmission_AM,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
MOMAMER,Body_AM,Body_AM,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Platform_AM,frame_AM,frame_AM,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Platform_AM,wheels_AM,wheels_AM,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
powerunit_AM,motor_AM,motor_AM,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
powerunit_AM,battery_AS,battery_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Cockpit_AM,steering_AM,steering_AM,10,3,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Cockpit_AM,monitor_AM,monitor_AM,10,2,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Body_AM,steel_AM,steel_AM,10,2,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Body_AM,windows_AM,windows_AM,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Body_AM,wireharness_AM,wireharness_AM,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
motor_AM,core_AM,core_AM,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
motor_AM,coil_AM,coil_AM,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
motor_AM,cover_AM,cover_AM,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
